updateDate,code,code_name
2015-11-30,sz.002129,中环股份
2015-11-30,sz.002142,宁波银行
2015-11-30,sz.002146,荣盛发展
2015-11-30,sz.002153,石基信息
2015-11-30,sz.002202,金风科技
2015-11-30,sz.002230,科大讯飞
2015-11-30,sz.002236,大华股份
2015-11-30,sz.002241,歌尔股份
2015-11-30,sz.002252,上海莱士
2015-11-30,sz.002292,奥飞娱乐
2015-11-30,sz.002294,信立泰
2015-11-30,sz.002304,洋河股份
2015-11-30,sz.002310,东方园林
2015-11-30,sz.002344,海宁皮城
2015-11-30,sz.002353,杰瑞股份
2015-11-30,sz.002375,亚厦股份
2015-11-30,sz.002385,大北农
2015-11-30,sz.002399,海普瑞
2015-11-30,sz.002410,广联达
2015-11-30,sz.002415,海康威视
2015-11-30,sz.002422,科伦药业
2015-11-30,sz.002450,康得新
2015-11-30,sz.002456,欧菲科技
2015-11-30,sz.002465,海格通信
2015-11-30,sz.002470,金正大
2015-11-30,sz.002475,立讯精密
2015-11-30,sz.002500,山西证券
2015-11-30,sz.002570,*ST因美
2015-11-30,sz.002594,比亚迪
2015-11-30,sz.002653,海思科
2015-11-30,sz.002673,西部证券
2015-11-30,sz.002736,国信证券
2015-11-30,sz.300002,神州泰岳
2015-11-30,sz.300003,乐普医疗
2015-11-30,sz.300015,爱尔眼科
2015-11-30,sz.300017,网宿科技
2015-11-30,sz.300024,机器人
2015-11-30,sz.300027,华谊兄弟
2015-11-30,sz.300058,蓝色光标
2015-11-30,sz.300059,东方财富
2015-11-30,sz.300070,碧水源
2015-11-30,sz.300104,乐视网
2015-11-30,sz.300124,汇川技术
2015-11-30,sz.300133,华策影视
2015-11-30,sz.300146,汤臣倍健
2015-11-30,sz.300251,光线传媒
